,id,score,query,title,content,model_name,is_found
19349,19349,1.0000001,ПОЛОН,ПОЛОН,"То же, что плен. Взять в п. ",intfloat/multilingual-e5-large,True
16271,16271,1.0,ОСТУЖАТЬ,ОСТУЖАТЬ,"То же, что студить. ",intfloat/multilingual-e5-large,True
23074,23074,1.0,РАССОРИТЬСЯ,РАССОРИТЬСЯ,"Окончательно поссориться с кем-н. Р.. с соседями. II несов. рассориваться, -аюсь,-аешься. ",intfloat/multilingual-e5-large,True
18948,18948,1.0000001,ПОДСТУПИТЬ,ПОДСТУПИТЬ,"Подойти близко. П. к стенам крепости. Я вплотную к кому-чему-н. Вода подступила к пристани (перен.). Деревня подступила к реке (перен.). 2. к кому. Подойти, обратившись с просьбой, вопросом (разг.). Сегодня к нему и п. нельзя (очень занят или сердит, расстроен). 3. (1 и 2 л. не употр.). О чувствах, состоянии: обнаружиться, проявиться. Подступила тоска. Под сердце подступило (безл., о боли). Слезы подступили к глазам. Комок к горлу подступил (сдавило горло от волнения, слез). II несов. подступать, -аю, -аешь. II сущ. подступ, -а, м. (к 1 знач.). ",intfloat/multilingual-e5-large,True
5178,5178,1.0000001,ДАРОВЩИНКА,ДАРОВЩИНКА,"То же, что дармовщинка. * На даровщинку то же, что на дармовщинку. Угоститься на даровщинку, ",intfloat/multilingual-e5-large,True
15859,15859,1.0000001,ОНИКС,ОНИКС,"Минерал, разновидность агата. II прил. ониксовый, -ая, -ое. ",intfloat/multilingual-e5-large,True
21529,21529,0.99999976,ПРОРАН,ПРОРАН,"Суженная часть русла, проход, временно оставляемый для пропуска воды при сооружении плотины и закрываемый при завершении работ. 2. Промоина, отверстие в плотине, дамбе, прорванной водным потоком. ",intfloat/multilingual-e5-large,True
1853,1853,0.9999998,БРИГАДИР,БРИГАДИР,"Руководитель бригады (во 2 и 3 знач.). Б. поезда. Б. строителей. 2. В русской армии в 18 в.: военный чин рангом выше полковника, а также лицо, имеющее этот чин. II ж. бригадирша, -и (к 1 знач.; разг.). II прил. бригадирский, -ая,-ое. ",intfloat/multilingual-e5-large,True
30449,30449,0.9999999,ШАНЕЦ,ШАНЕЦ,В 17-19 вв.: отрытое в земле большое четырехугольное полевое укрепление. ,intfloat/multilingual-e5-large,True
6456,6456,0.9999999,ЕДИНОБОРСТВО,ЕДИНОБОРСТВО,"Бой один на один. Выйти на е. Восточные единоборства (разные виды рукопашного боя и самозащиты). Спортивные единоборства (борьба, бокс, фехтование). Вступить в в- с кем-н. (также перен.). ",intfloat/multilingual-e5-large,True
21368,21368,0.9999999,ПРОКУРАТОР,ПРОКУРАТОР,"В Древнем Риме: вольноотпущенник или раб, управляющий имением, поместьем. 2. Чиновник, приближенный к императору и ведающий его казначейством, сбором налогов, другими делами. 3. В Древнем Риме: управляющий провинцией, подчиненный наместнику. Понтий Пилат - п. Иудеи. II прил. про-кураторский, -ая, -ое. ",intfloat/multilingual-e5-large,True
23223,23223,1.0,РАСЧЕСТЬ,РАСЧЕСТЬ,"То же, что рассчитать (в 1, 3 и устар. во 2 знач.). Р. расходы. Р. все заранее. Р. с работы. II несов. рассчитывать, -аю, -аешь. II сущ. расчет, -а, м. ",intfloat/multilingual-e5-large,True
11457,11457,1.0000001,ЛИТЕРНЫЙ,ЛИТЕРНЫЙ,"Обозначенный не цифрой, а литерой (в 1 знач.) в знак особого, специального назначения. Л. вагон. Л. поезд. Литерная ложа (в театре). ",intfloat/multilingual-e5-large,True
7348,7348,1.0,ЗАМУЧИТЬ,ЗАМУЧИТЬ,"Мучениями извести, довести до смерти. 3. в неволе. II несов. замучивать, -аю, -аешь. ",intfloat/multilingual-e5-large,True
4367,4367,1.0,ГЕПАТИТ,ГЕПАТИТ,"Воспалительное заболевание печени. Инфекционный (вирусный) г. II прил. гепатитный, -ая, -ое. ",intfloat/multilingual-e5-large,True
10826,10826,1.0000001,КРЫСОЛОВКА,КРЫСОЛОВКА,"Капкан для крыс. 2. Собака, истребляющая крыс. ",intfloat/multilingual-e5-large,True
15255,15255,1.0,ОБРУБ,ОБРУБ,"Место, где что-н. обрублено. О. бревна. ",intfloat/multilingual-e5-large,True
1327,1327,1.0,БЕСПРИЧИННЫЙ,БЕСПРИЧИННЫЙ,"Не имеющий основания, причины. Б. смех. 11 сущ беспричинность, -и, ж. ",intfloat/multilingual-e5-large,True
8683,8683,0.99999994,ИНОСКАЗАНИЕ,ИНОСКАЗАНИЕ,"Выражение, содержащее иной, скрытый смысл, аллегория. Говорить иносказаниями. ",intfloat/multilingual-e5-large,True
8839,8839,1.0,ИСПЕСТРИТЬ,ИСПЕСТРИТЬ,"Сделать очень пестрым, разноцветным. И. стены картинками. и несов. испестрять, -яю, -яешь. ",intfloat/multilingual-e5-large,True
23609,23609,1.0000001,РИГОРИЗМ,РИГОРИЗМ,"Чрезмерная строгость, прямолинейность в соблюдении нравственных принципов, в поведении. II прил. ригористический, -ая, -ое. ",intfloat/multilingual-e5-large,True
11899,11899,1.0,МАНТИЛЬЯ,МАНТИЛЬЯ,"У испанок: кружевная накидка на голову и плечи. 2. Короткая, не доходящая до колен накидка без рукавов. ",intfloat/multilingual-e5-large,True
4364,4364,0.99999994,ГЕОРГИН,ГЕОРГИН,"Крупное садовое травянистое растение сем. сложноцветных с большими яркими соцветиями. II прил. георгинный, -ая, oое. ",intfloat/multilingual-e5-large,True
15901,15901,1.0000001,ОПЕРИТЬ,ОПЕРИТЬ,"Снабдить, украсить пером. О. стрелу. II несов. оперять, -яю, -яешь. ",intfloat/multilingual-e5-large,True
18903,18903,0.99999994,ПОДСКАЗЧИК,ПОДСКАЗЧИК,"Тот, кто подсказывает (в 1 знач.). II ж. подсказчица, -ы. ПОДСКОБЛИТЬ, -облю, -облишь и -облишь; -обленный; сов., что. Соскоблить немного или часть чего-н. П. краску. II несов. подскабливать, -аю, -аешь. ",intfloat/multilingual-e5-large,True
14768,14768,0.9999999,НОСОГРЕЙКА,НОСОГРЕЙКА,Короткая курительная трубка. ,intfloat/multilingual-e5-large,True
9699,9699,1.0,КЛЕТЬ,КЛЕТЬ,"Кладовая при избе или в отдельной постройке (обл.). 2. Подъемное устройство в шахте. Шахтная к. 3. Основная часть прокатного стана (спец.). II уметай, клетушка, -и, ж. (к 1 знач.). II прил. клетьевой, -ая, -ое (ко 2 знач.). ",intfloat/multilingual-e5-large,True
15370,15370,1.0,ОБЩАТЬСЯ,ОБЩАТЬСЯ,"Поддерживать общение, взаимные отношения. О. с друзьями. ",intfloat/multilingual-e5-large,True
21153,21153,1.0000001,ПРОГНОЗИСТ,ПРОГНОЗИСТ,"Специалист по прогнозированию чего-н. II ж. прогнозйстка, -и. ",intfloat/multilingual-e5-large,True
14215,14215,0.99999976,НЕКРОПОЛЬ,НЕКРОПОЛЬ,"Место, где похоронены знаменитые люди; по отношению к древнему миру - вообще могильник, кладбище. ",intfloat/multilingual-e5-large,True
28354,28354,1.0,УДЕРЖАТЬ,УДЕРЖАТЬ,"Держа, не дать упасть кому-чему-н. У. в руках. 2. что. Сохранить, сберечь. У. первое место в соревновании. У. в памяти. 3. что. Не отпустить, не отдать часть чего-н. при выплате (офиц.). У. алименты из заработной платы. 4. кого (что). Сдержав, остановить или не отпустить. У. лошадей. У. гостя до вечера. 5. кого (что) от чего. Не дать сделать что-н. У. от необдуманного поступка. 6. что. Не дать обнаружиться чему-н. У. слезы. II несов. удерживать, -аю, -аешь. II сущ. удерживание, -я, ср. (к 1, 2, 4, 5 и 6 знач.) и удержание, -я, ср. (к 3 знач.). ",intfloat/multilingual-e5-large,True
9083,9083,1.0000001,КАЙЛО,КАЙЛО,"То же, что кирка. II прил. кайловый, -ая, -ое. ",intfloat/multilingual-e5-large,True
6288,6288,0.99999994,ДУБИНА,ДУБИНА,"Толстая тяжелая палка. 2. м. и ж; перен. Тупой, глупый человек (прост, бран.). II ласк. дубинушка, -и, ж. (к 1 знач.). ",intfloat/multilingual-e5-large,True
13589,13589,1.0000001,НАРОДИТЬ,НАРОДИТЬ,Родить в каком-н. количестве. Н. сыновей. ,intfloat/multilingual-e5-large,True
19293,19293,1.0,ПОЛИЦЕЙСКИЙ,ПОЛИЦЕЙСКИЙ,Служащий полиции. ,intfloat/multilingual-e5-large,True
15248,15248,1.0,ОБРЕЧЬ,ОБРЕЧЬ,"Предназначить к какой-н. неизбежной участи (обычно тяжелой). О. на страдания, на гибель. Это дело обречено на провал. II несов. обрекать, -аю, -аешь. II сущ. обречение, -я, ср. ",intfloat/multilingual-e5-large,True
3550,3550,1.0000001,ВСТУПИТЬСЯ,ВСТУПИТЬСЯ,"Взять под свою защиту кого-что-н. В. за товарища. В. за чъи-н. интересы. II несов. вступаться, -аюсь, -аешься. ",intfloat/multilingual-e5-large,True
26619,26619,1.0000001,СТОРОЖЕВОЙ,СТОРОЖЕВОЙ,"Предназначенный для охраны чего-н., дозора. Сторожевая вышка. Сторожевое охранение. С. корабль. ",intfloat/multilingual-e5-large,True
27322,27322,1.0000001,ТЕЛЕСА,ТЕЛЕСА,"О теле толстяка, толстухи. ",intfloat/multilingual-e5-large,True
22139,22139,1.0,ПЬЯНЬ,ПЬЯНЬ,"Пьяные, пьющие люди. ",intfloat/multilingual-e5-large,True
3208,3208,1.0,ВОРОЖИТЬ,ВОРОЖИТЬ,"Колдуя, гадать (в 1 знач.). Знахарка ворожит над наговорной водой, * Бабушка ворожит кому (разг. шутл.) - о том, кто удачлив, кому во всем везет. II сущ. ворожба, -Ы, ж. ",intfloat/multilingual-e5-large,True
19492,19492,1.0,ПОМИДОР,ПОМИДОР,"Огородное растение сем. пасленовых, а также его округлый сочный плод красного или, реже, желтого цвета, томат. II прил. помидорный, -ая,-ое. ",intfloat/multilingual-e5-large,True
25610,25610,0.9999999,СНЕЖИНКА,СНЕЖИНКА,"Пушинка, кристаллик снега. Порхают снежинки. ",intfloat/multilingual-e5-large,True
5516,5516,1.0,ДЕРИВАЦИЯ,ДЕРИВАЦИЯ,"Боковое отклонение снарядов и пуль при полете. 2. Отвод воды от русла реки по каналу. 3. То же, что словопроизводство. II прил. деривационный, -ая,-ое. ",intfloat/multilingual-e5-large,True
3180,3180,1.0,ВООДУШЕВИТЬСЯ,ВООДУШЕВИТЬСЯ,"Почувствовать подъем духа от че-го-н., вдохновиться, увлечься. В. новой идеей. II несов. воодушевляться, -яюсь, -яешься. II сущ. воодушевление, -я, ср. Го-воритъ с воодушевлением ",intfloat/multilingual-e5-large,True
8477,8477,0.99999994,ИЗРАИЛЬТЯНСКИЙ,ИЗРАИЛЬТЯНСКИЙ,"Относящийся к израильтянам, к их языку (ивриту), национальному характеру, образу жизни, культуре, а также к Израилю, его территории, внутреннему устройству, истории; такой, как у израильтян, как в Израиле. Израильские государственные языки (иврит, арабский). Израильская лира. И. фунт (денежная единица). ",intfloat/multilingual-e5-large,True
2905,2905,1.0,ВНУШИТЬ,ВНУШИТЬ,"Воздействуя на волю, сознание, побудить к чему-н., заставить усвоить что-н. В. страх. В. уважение к старшим. II несов. внушать, -аю, -аешь. II сущ. внушение, -я, ср. ",intfloat/multilingual-e5-large,True
22811,22811,0.9999999,РАЛЛИ,РАЛЛИ,"Авто- или мотогонки на специальных спортивных машинах. Многодневное автомобильное, мотоциклетное р. II прил. раллийный, -ая, oое. ",intfloat/multilingual-e5-large,True
20081,20081,0.99999994,ПОЭЗИЯ,ПОЭЗИЯ,"Словесное художественное творчество, преимущ. стихотворное. 2. Стихи, произведения, написанные стихами. П. и проза. Классическая русская п. Современная п. 3. перен; чего. Красота и прелесть чего-н., возбуждающие чувство очарования. П. летнего утра. II прил. поэтический, -ая, -ое. Поэтическое творчество. П. ландшафт. ",intfloat/multilingual-e5-large,True
10272,10272,1.0,КОНЬКОБЕЖЕЦ,КОНЬКОБЕЖЕЦ,"Спортсмен, занимающийся конькобежным спортом, а также вообще тот, кто катается на коньках. II ж. конькобежка, -и. ",intfloat/multilingual-e5-large,True
30041,30041,1.0,ЧАДРА,ЧАДРА,"У мусульман: легкое покры- вало, закрывающее голову и лицо женщины и спускающееся по плечам вниз (до ног). ",intfloat/multilingual-e5-large,True
21981,21981,1.0000001,ПУЗЫРЬ,ПУЗЫРЬ,"Наполненный воздухом прозрачный шарик в жидкости, жидкой массе. Мыльный п. (выдуваемый из мыльной пены; также перен.: о чем-н. ярком, но непрочном, о дутой величине; неодобр.). Пускать пузыри (захлебнувшись или набрав слюны, выпускать воздух ртом; также перен.: тонуть; разг.). П. в стекле (застывший). 2. То же, что волдырь. П. от ожога. Натереть ладони до пузырей. 3. Полый орган в теле человека, животного, содержащий или накапливающий какую-н. жидкость. Мочевой п. Желчный п. 4. Резиновый или эластичный мешок, наполняемый воздухом или водой, употр. для различных целей (разг.). Плавать с пузырями. П. с горячей водой (грелка). П. со льдом. 5. То же, что карапуз (разг. шутл.). II прил. пузырный, -ая, -ое (ко 2 и 3 знач.; спец.). II уменьш. пузырек, -рька. л*, (к 1 и 2 знач.). II прил. пузырьковый, -ая, -ое (ко 2 знач.; спец.). ",intfloat/multilingual-e5-large,True
21956,21956,0.99999976,ПУБЛИЦИСТ,ПУБЛИЦИСТ,"Писатель - автор публицистических произведений. II ж. публицистка, -и. II прил. публицистский, -ая,-ое. ",intfloat/multilingual-e5-large,True
15262,15262,0.9999999,ОБРУЧИТЬСЯ,ОБРУЧИТЬСЯ,"Обменяться обручальными кольцами во время обручения. II несов. обручаться, -аюсь, -аешься. ",intfloat/multilingual-e5-large,True
18808,18808,1.0,ПОДОРОЖНИК,ПОДОРОЖНИК,"Сорная луговая, обычно придорожная, трава с мелкими цветками, собранными в соцветия в виде колоса. 2. Пирожок, закуска, взятая в дорогу (устар). II прил. подорожниковый, -ая, -ое (к I знач.). Семейство подорожниковых (сущ.). ",intfloat/multilingual-e5-large,True
30074,30074,1.0000001,ЧАЙНИЦА,ЧАЙНИЦА,"Сосуд, коробочка для сухого рассыпного чая. Серебряная, фарфоровая ч. ",intfloat/multilingual-e5-large,True
24399,24399,0.99999994,СВЕТОТЕХНИК,СВЕТОТЕХНИК,Специалист по светотехнике. Инженер-с. ,intfloat/multilingual-e5-large,True
3183,3183,0.99999994,ВООЧИЮ,ВООЧИЮ,"Своими глазами. Убе-диться в. в чем-н. 2. Вполне наглядно, зримо. В. представить себе что-н. ",intfloat/multilingual-e5-large,True
2810,2810,1.0,ВЛАГА,ВЛАГА,"Сырость, вода, содержащаяся в чем-н. Воздух, насыщенный влагой. ",intfloat/multilingual-e5-large,True
3738,3738,0.9999999,ВЫДОХ,ВЫДОХ,Одно выдыхательное движение; противоп. вдох. Сделать в. Глубокий в. ,intfloat/multilingual-e5-large,True
21665,21665,0.99999994,ПРОСТУКАТЬ,ПРОСТУКАТЬ,"То же, что выстукать (во 2 знач.). П. больному грудь. II несое. простукивать, -аю, -аешь. И сущ. простукивание, -я, ср. ",intfloat/multilingual-e5-large,True
10656,10656,1.0,КРЕСТЕЦ,КРЕСТЕЦ,"Несколько сросшихся позвонков - место соединения костей таза с позвоночником. II прил. крестцовый, -ая, -ое. Крестцовая кость. ",intfloat/multilingual-e5-large,True
14013,14013,1.0000001,НЕВРОЛОГИЯ,НЕВРОЛОГИЯ,"Совокупность разделов медико-биологических наук, изучающих нервную систему и ее заболевания. II прил. неврологический, -ая, -ое. ",intfloat/multilingual-e5-large,True
17826,17826,1.0000001,ПЕРЕЧИТАТЬ,ПЕРЕЧИТАТЬ,"Прочитать заново. П. Пушкина. 2. Прочитать много чего-н. П. все журналы. II несов. перечитывать, -аю, -аешь (к 1 знач.). ",intfloat/multilingual-e5-large,True
13130,13130,1.0,НАГРОМОЖДЕНИЕ,НАГРОМОЖДЕНИЕ,"Беспорядочная груда, скопление чего-н. (книжн.). Н. камней. ",intfloat/multilingual-e5-large,True
8236,8236,1.0,ИДЕОГРАММА,ИДЕОГРАММА,"Письменный знак - условное изображение или рисунок, выражающий целое понятие. ИДЕОГРАФИЯ, -и, ж. Письмо при помощи идеограмм. II прил. идеографический, -ая, -ое. Идеографическое письмо. ",intfloat/multilingual-e5-large,True
12808,12808,1.0000001,МРАМОРНЫЙ,МРАМОРНЫЙ,"Рисунком, цветом похожий на мрамор. М. узор. Мраморная бумага. 3. перен. О лице, коже: матово-белый. М. лоб. Мраморные плечи. II сущ. мраморностъ, -и, ж. (к 3 знач.). ",intfloat/multilingual-e5-large,True
2589,2589,0.9999999,ВЗДУМАТЬ,ВЗДУМАТЬ,"Неожиданно, вдруг захотеть или решить что-н. сделать. Вздумал прокатиться. Не вздумай убежать! (не посмей!). ",intfloat/multilingual-e5-large,True
21388,21388,0.99999994,ПРОЛИВ,ПРОЛИВ,"Узкое водное пространство, разделяющее участки суши и соединяющее смежные водные бассейны или их части. II прил. проливный, -ая, -ое. ",intfloat/multilingual-e5-large,True
14725,14725,1.0,НОЖКА,НОЖКА,"Опора, стойка (мебели, утвари, прибора, какого-н. устройства). Н. стула. 3. Стебелек, на к-ром держится цветок, а также нижняя, под шляпкой, часть гриба. Н. одуванчика. Н. сыроежки. 4. Один из раздвижных стержней измерительного или чертежного инструмента. Н. циркуля. ",intfloat/multilingual-e5-large,True
1315,1315,1.0000002,БЕСПРЕПЯТСТВЕННЫЙ,БЕСПРЕПЯТСТВЕННЫЙ,"Не связанный ни с какими затруднениями, не встречающий препятствий. Б. въезд. II сущ. беспрепятственность, -и, ж. ",intfloat/multilingual-e5-large,True
31076,31076,1.0,ЭЛЕКТРИЗОВАТЬ,ЭЛЕКТРИЗОВАТЬ,"Сообщать чему-н. электрический заряд. 2. перен., кого (что), Приводить в возбужденное состояние (книжн.). I) сов. наэлектризовать, -зую; -зуешь; -бванный. 11 сущ. алектрнзация, -и ж. (к 1 знач.). Э. трением. ",intfloat/multilingual-e5-large,True
17699,17699,1.0000001,ПЕРЕПРЫГНУТЬ,ПЕРЕПРЫГНУТЬ,"Прыгнуть через что-н. П. канаву и через канаву. II несов. перепрыгивать, -аю, -аешь. ПЕРЕПРЯЧЬ, -ягу, -яжешь, -ягут; -яг, -ягла; -яженный (-ен, -ена); -ягши; сов., кого (что). Запрячь заново. П. лошадей. II несов. перепрягать, -аю, -аешь. II сущ перепряжка, -и, ж. ",intfloat/multilingual-e5-large,True
18726,18726,1.0,ПОДМАСЛИТЬ,ПОДМАСЛИТЬ,"Подбавить масла к чему-н. П. кашу. 2. перен., кого (что). Задобрить; подмазать (во 2 знач.) (прост.). II несов. подмасливать, -аю, -аешь. ",intfloat/multilingual-e5-large,True
12598,12598,1.0,МОЛОДЕЦ,МОЛОДЕЦ,"В народной словесности: удалец, храбрец. Добрый м. ",intfloat/multilingual-e5-large,True
18593,18593,1.0000001,ПОДГРУППА,ПОДГРУППА,"Подразделение внутри группы. II прил. подгрупповой, -ая, -ое. ",intfloat/multilingual-e5-large,True
24712,24712,1.0,СЕМИТЫСЯЧНЫЙ,СЕМИТЫСЯЧНЫЙ,Числит. порядк. к семь тысяч. 2. Ценой в семь тысяч. 3. Состоящий из семи тысяч единиц. ,intfloat/multilingual-e5-large,True
18911,18911,1.0,ПОДСМОТРЕТЬ,ПОДСМОТРЕТЬ,"Тайком рассматривая, смотря, увидеть. П. в щелку. II несов. подсматривать, -аю, -аешь. ",intfloat/multilingual-e5-large,True
8866,8866,0.9999998,ИСПОЛКОМ,ИСПОЛКОМ,"Сокращение: исполнительный комитет. И. профсоюза, II прил. исполкомовский, -ая, -ое (разг.). ",intfloat/multilingual-e5-large,True
14616,14616,1.0,НИГИЛИСТ,НИГИЛИСТ,"В 60-х гг. 19 в. в России: сторонник демократического движения, отрицающий устои и традиции дворянского общества, крепостничество. 2. Человек, относящийся ко всему резко отрицательно, скептически. II ж. нигилистка, -и. II прил. нигилистский, -ая, -ое. ",intfloat/multilingual-e5-large,True
5032,5032,1.0000001,ГРУППА,ГРУППА,"Несколькопредметов или людей, животных, расположенных близко друг от друга, соединенных вместе. Г. строений. Г. всадников. Народ толпится группами. 2. Совокупность людей, объединенных общностью интересов, профессии, деятельности, а также совокупность предметов, объединенных общностью признаков. Общественные группы. Г. учащихся. Ударная г. войск. 3. Определенное подразделение внутри какого-н. разряда, множества. Г. крови. Первая (вторая, третья) г. инвалидности. II уменьш. группка, -и, ж. (к 1 и 2 знач.). II прил. групповой, -ая, -ое (к 1 и 2 знач.). Групповая фотография. Групповые интересы (узкие, ограниченные). ",intfloat/multilingual-e5-large,True
2321,2321,0.99999994,ВЕЛИКИЙ,ВЕЛИКИЙ,"Превосходящий общий уровень, обычную меру, значение, выдающийся. В. русский язык. Великие люди. Великая победа. Великая Отечественная война. 2. (велик, -а, -о, -и). Очень большой. Великая радость. У страха глаза велики (посл.:трусу везде страшно, везде видится опасность). 3. только кр. ф. (велик, -a, -о, -и). Большего размера, чем нужно, просторный. Сапоги велики. Кабинет слишком велик. * Великий князь - в Древней Руси: старший по положению князь, с 18 в. - титул членов царской фамилии, лицо, имеющее этот титул. Великое множество - очень много. Не велик барин (не велика барыня) (разг.) - не важный человек, нечего с ним (с ней) церемониться. II сущ. великость, -и, ж. (к 1 знач.; устар.). ВЕЛИКОВОЗРАСТНЫЙ, -ая, -ое; -тен, -тнаи (устар.) ",intfloat/multilingual-e5-large,True
139,139,0.9999999,АГРЕГАТ,АГРЕГАТ,"Соединение для общей работы двух или нескольких разнотипных машин. Уборочный а. 2. Часть какой-н. машины, узел(в 3 знач.) для выполнения определенных операций. II прил. агрегатный, -ая, -ое. ",intfloat/multilingual-e5-large,True
18351,18351,1.0,ПОБОРНИК,ПОБОРНИК,"Защитник, сторонник чего-н. П. мира. II ж. поборница, -ы. II прил. поборнический, -ая, -ое. ",intfloat/multilingual-e5-large,True
12197,12197,1.0000001,МЕРЗЛОТА,МЕРЗЛОТА,"Состояние почвы, содержащей в себе лед. Вечная м. II прил. мерзлотный, -ая, -ое. Мерзлотная станция. ",intfloat/multilingual-e5-large,True
8837,8837,1.0000001,ИСПАРЕНИЕ,ИСПАРЕНИЕ,Испаряющееся вещество. Вредные испарения. Болотные испарения. ,intfloat/multilingual-e5-large,True
9396,9396,1.0000001,КАСТРКУЛЯ,КАСТРКУЛЯ,"Металлическая посуда для варки пищи. Алюминиевая, эмалированная к. II прил. кастрюльный, -ая, -ое. ",intfloat/multilingual-e5-large,True
21563,21563,1.0,ПРОСВЕТИТЕЛЬСТВО,ПРОСВЕТИТЕЛЬСТВО,"Деятельность просветителя, просветителей. ",intfloat/multilingual-e5-large,True
30141,30141,1.0,ЧЕРВЯК,ЧЕРВЯК,"То же, что червь. Ловить рыбу на червяка. 2. перен. О жалком, ничтожном человеке (презр). 3. Зубчатое колесо в форме винта для передачи движения в нек-рых механизмах (спец.). II уменьш. червячок, -чка, м. (к 1 знач.). * Червячка заморить - поев немного, слегка утолить голод. I) прил. червячный, -ая, ое (к 1 и 3 знач.) и червяковый, -ая, ое (к 1 знач.). Червячная передача. ",intfloat/multilingual-e5-large,True
25525,25525,0.99999994,СМИРНЫЙ,СМИРНЫЙ,"Спокойный, тихий, покорный. Смирная лошадь. Смирно (нареч.) вести себя. Смирно! (команда: стоять навытяжку, неподвижно). II сущ. смирность, -и, ж. ",intfloat/multilingual-e5-large,True
1844,1844,0.99999994,БРЕНЧАТЬ,БРЕНЧАТЬ,"Тихо позванивать, звякать. Бренчат шпоры. Б. ключами. 2. на чем. Неумело или небрежно играть на музыкальном инструменте (разг.). Б. на гитаре. II сов. пробренчать, -чу, -чишь. II сущ. бренчанье, -я, ср. ",sentence-transformers/paraphrase-multilingual-mpnet-base-v2,True
3810,3810,1.0000001,ВЫКРЕСТ,ВЫКРЕСТ,"Человек, перешедший в христианство из другой религии. II ж. выкрестка, -и. ",sentence-transformers/paraphrase-multilingual-mpnet-base-v2,True
